,importance,stddev,p_value,n,p99_high,p99_low
udp_sport_10,-2.2204460492503132e-17,0.00020000000000000573,0.5000000000000931,5,0.00041180276429375346,-0.0004118027642937979
ip_chksum_5,-2.2204460492503132e-17,0.00014142135623733317,0.5000000000001317,5,0.00029118852714351244,-0.0002911885271435569
dns_qd_582,-2.2204460492503132e-17,0.0002828427124746075,0.5000000000000658,5,0.000582377054286926,-0.0005823770542869705
dns_qd_506,-2.2204460492503132e-17,0.0003999999999999698,0.5000000000000466,5,0.0008236055285874435,-0.000823605528587488
dns_qd_33,-2.2204460492503132e-17,0.00014142135623733317,0.5000000000001317,5,0.00029118852714351244,-0.0002911885271435569
dns_qd_331,-2.2204460492503132e-17,0.00024494897427833616,0.5000000000000759,5,0.0005043533235936823,-0.0005043533235937267
dns_qd_580,-3.999999999997339e-05,0.00021908902300207272,0.6479999999999041,5,0.00041110732649339446,-0.0004911073264933412
dns_identifacation_12,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_168,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_identifacation_6,-3.999999999999559e-05,0.0002190890230020423,0.6479999999999999,5,0.0004111073264933097,-0.0004911073264933009
dns_identifacation_3,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_141,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_259,-3.999999999999559e-05,0.00016733200530679669,0.6893458524812515,5,0.00030453891170079264,-0.00038453891170078385
dns_qd_6,-3.999999999999559e-05,0.00016733200530679669,0.6893458524812515,5,0.00030453891170079264,-0.00038453891170078385
dns_qd_409,-3.999999999999559e-05,0.00016733200530686304,0.6893458524811846,5,0.00030453891170092925,-0.00038453891170092046
dns_qd_13,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_646,-3.999999999999559e-05,0.00016733200530686304,0.6893458524811846,5,0.00030453891170092925,-0.00038453891170092046
dns_qd_641,-3.999999999999559e-05,0.00026076809620807724,0.6255657749882368,5,0.0004969251142905464,-0.0005769251142905375
dns_qd_67,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_623,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_95,-3.999999999999559e-05,0.00016733200530679669,0.6893458524812515,5,0.00030453891170079264,-0.00038453891170078385
dns_qd_619,-3.999999999999559e-05,0.00016733200530679666,0.6893458524812515,5,0.0003045389117007926,-0.0003845389117007838
dns_qd_484,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_39,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
ip_id_13,-3.999999999999559e-05,0.00016733200530679669,0.6893458524812515,5,0.00030453891170079264,-0.00038453891170078385
ip_id_14,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_569,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_567,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_50,-3.999999999999559e-05,0.00026076809620807724,0.6255657749882368,5,0.0004969251142905464,-0.0005769251142905375
dns_qd_503,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_85,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_513,-3.999999999999559e-05,0.00016733200530679666,0.6893458524812515,5,0.0003045389117007926,-0.0003845389117007838
dns_qd_756,-3.999999999999559e-05,0.00029664793948379386,0.6109752255499896,5,0.000570802207507382,-0.0006508022075073731
dns_qd_753,-3.999999999999559e-05,0.00029664793948379386,0.6109752255499896,5,0.000570802207507382,-0.0006508022075073731
dns_qd_729,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_527,-3.999999999999559e-05,0.00016733200530679666,0.6893458524812515,5,0.0003045389117007926,-0.0003845389117007838
dns_qd_345,-3.999999999999559e-05,0.0002607680962081198,0.6255657749882172,5,0.000496925114290634,-0.0005769251142906251
dns_qd_241,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
ip_len_12,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_477,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
udp_dport_9,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_18,-3.999999999999559e-05,0.00016733200530679666,0.6893458524812515,5,0.0003045389117007926,-0.0003845389117007838
dns_qd_364,-3.999999999999559e-05,0.0002607680962081411,0.6255657749882075,5,0.0004969251142906778,-0.0005769251142906689
dns_qd_278,-3.999999999999559e-05,0.00026076809620807724,0.6255657749882368,5,0.0004969251142905464,-0.0005769251142905375
dns_qd_190,-3.999999999999559e-05,0.00016733200530679666,0.6893458524812515,5,0.0003045389117007926,-0.0003845389117007838
dns_qd_283,-3.999999999999559e-05,0.00016733200530679669,0.6893458524812515,5,0.00030453891170079264,-0.00038453891170078385
dns_qd_704,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_462,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_286,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_29,-3.999999999999559e-05,0.0002190890230020423,0.6479999999999999,5,0.0004111073264933097,-0.0004911073264933009
dns_qd_591,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
dns_qd_105,-3.999999999999559e-05,0.00016733200530686304,0.6893458524811846,5,0.00030453891170092925,-0.00038453891170092046
dns_qd_96,-3.999999999999559e-05,0.00016733200530679669,0.6893458524812515,5,0.00030453891170079264,-0.00038453891170078385
dns_qd_332,-4.00000000000178e-05,8.944271910003138e-05,0.8130495168499705,5,0.00014416379485669999,-0.0002241637948567356
dns_qd_348,-4.00000000000178e-05,0.00016733200530682322,0.6893458524813183,5,0.0003045389117008251,-0.00038453891170086066
dns_qd_240,-4.00000000000178e-05,0.0003286335345031446,0.6005170704036407,5,0.0006366609897401071,-0.0007166609897401426
dns_qd_276,-4.00000000000178e-05,0.0002966479394838275,0.6109752255500367,5,0.000570802207507429,-0.0006508022075074646
dns_qd_297,-4.00000000000178e-05,8.944271910003138e-05,0.8130495168499705,5,0.00014416379485669999,-0.0002241637948567356
dns_qd_208,-4.00000000000178e-05,0.00016733200530682322,0.6893458524813183,5,0.0003045389117008251,-0.00038453891170086066
dns_identifacation_4,-4.00000000000178e-05,0.00021908902300208792,0.648000000000048,5,0.0004111073264933814,-0.000491107326493417
dns_qd_735,-4.00000000000178e-05,0.0002190890230020626,0.6480000000000639,5,0.0004111073264933293,-0.0004911073264933649
dns_qd_451,-4.00000000000178e-05,8.944271910003138e-05,0.8130495168499705,5,0.00014416379485669999,-0.0002241637948567356
dns_qd_76,-4.00000000000178e-05,0.0002190890230020626,0.6480000000000639,5,0.0004111073264933293,-0.0004911073264933649
dns_qd_526,-4.00000000000178e-05,0.00016733200530682322,0.6893458524813183,5,0.0003045389117008251,-0.00038453891170086066
dns_qd_696,-4.00000000000178e-05,0.00026076809620809426,0.6255657749882954,5,0.0004969251142905592,-0.0005769251142905947
dns_qd_723,-4.00000000000178e-05,0.00016733200530682322,0.6893458524813183,5,0.0003045389117008251,-0.00038453891170086066
dns_qd_107,-4.00000000000178e-05,0.00016733200530682322,0.6893458524813183,5,0.0003045389117008251,-0.00038453891170086066
dns_qd_30,-4.00000000000178e-05,0.00016733200530682322,0.6893458524813183,5,0.0003045389117008251,-0.00038453891170086066
dns_qd_77,-4.00000000000178e-05,0.00016733200530682322,0.6893458524813183,5,0.0003045389117008251,-0.00038453891170086066
udp_sport_4,-4.00000000000178e-05,0.00016733200530688957,0.6893458524812515,5,0.0003045389117009617,-0.0003845389117009973
dns_qd_731,-4.00000000000178e-05,0.00038470768123339606,0.5862176401990283,5,0.0007521184328847654,-0.000832118432884801
dns_qd_482,-4.00000000000178e-05,0.0002966479394838275,0.6109752255500367,5,0.000570802207507429,-0.0006508022075074646
dns_qd_488,-4.00000000000178e-05,0.00016733200530682322,0.6893458524813183,5,0.0003045389117008251,-0.00038453891170086066
dns_qd_92,-4.00000000000178e-05,0.00026076809620811557,0.6255657749882855,5,0.0004969251142906031,-0.0005769251142906386
dns_qd_727,-4.00000000000178e-05,0.00021908902300208792,0.648000000000048,5,0.0004111073264933814,-0.000491107326493417
dns_qd_49,-4.00000000000178e-05,0.0002607680962081581,0.625565774988266,5,0.0004969251142906907,-0.0005769251142907262
dns_qd_502,-4.00000000000178e-05,0.0005176871642217966,0.5643903404061098,5,0.00102592502632966,-0.0011059250263296958
dns_qd_508,-4.00000000000178e-05,8.944271910003138e-05,0.8130495168499705,5,0.00014416379485669999,-0.0002241637948567356
